search_term,processed_search_term,search_tag
grocery store,grocery store,Search Term
health,health,Search Term
health score,health score,Search Term
historic,historic,Search Term
homeless,homeless,Search Term
housing,housing,Search Term
housing,housing,Search Term
income,income,Search Term
intersection,intersection,Search Term
inventory,inventory,Search Term
job,job,Search Term
marijuana,marijuana,Search Term
market street,market street,Search Term
mobile food,mobile food,Search Term
mobile food,mobile food,Search Term
moratorium,moratorium,Search Term
neighborhood,neighborhood,Search Term
neighborhood,neighborhood,Search Term
neighborhoods,neighborhoods,Search Term
open,open,Search Term
open space,open space,Search Term
orthophoto,orthophoto,Search Term
parcel data,parcel data,Search Term
parcels,parcels,Search Term
parcels,parcels,Search Term
parking,parking,Search Term
parking meters,parking meters,Search Term
parking meters,parking meters,Search Term
parks,parks,Search Term
parks,parks,Search Term
permit,permit,Search Term
phone,phone,Search Term
pipeline,pipeline,Search Term
planning,planning,Search Term
point,point,Search Term
police,police,Search Term
poop,poop,Search Term
population,population,Search Term
poverty,poverty,Search Term
public housing,public housing,Search Term
rail,rail,Search Term
recreation,recreation,Search Term
rent,rent,Search Term
rent control,rent control,Search Term
restaurant,restaurant,Search Term
restaurant,restaurant,Search Term
restaurants,restaurants,Search Term
restaurants,restaurants,Search Term
road,road,Search Term
roads,roads,Search Term
salaries,salaries,Search Term
san francisco,san francisco,Search Term
schedule e,schedule e,Search Term
sewer,sewer,Search Term
sfpark,sfpark,Search Term
sidewalks,sidewalks,Search Term
slope,slope,Search Term
street,street,Search Term
street,street,Search Term
street cleaning,street cleaning,Search Term
street cleaning,street cleaning,Search Term
street of san francisco,street of san francisco,Search Term
street parking,street parking,Search Term
street parking,street parking,Search Term
street sweeping,street sweeping,Search Term
street sweeping,street sweeping,Search Term
streets,streets,Search Term
streets,streets,Search Term
streets,streets,Search Term
summary totals,summary totals,Search Term
sweeping,sweeping,Search Term
taxi,taxi,Search Term
total housing units,total housing units,Search Term
traffic density,traffic density,Search Term
transit,transit,Search Term
transit,transit,Search Term
transportation,transportation,Search Term
trees,trees,Search Term
trees,trees,Search Term
watershed,watershed,Search Term
wind,wind,Search Term
wind monitoring,wind monitoring,Search Term
zip code,zip code,Search Term
zipcode,zipcode,Search Term
zoning,zoning,Search Term
BART,bart,Search Term
Basil Thai,basil thai,Search Term
Business Registration Certificate,business registration certificate,Search Term
EAS,eas,Search Term
Incidents,incidents,Search Term
Lot,lot,Search Term
Parking,parking,Search Term
Parks,parks,Search Term
SFMTA Bikeway Network,sfmta bikeway network,Search Term
Street parking,street parking,Search Term
Traffic,traffic,Search Term
accident,accident,Search Term
address,address,Search Term
advisories,advisories,Search Term
aerial,aerial,Search Term
age,age,Search Term
air quality,air quality,Search Term
analysis neighborhoods,analysis neighborhoods,Search Term
art,art,Search Term
bar,bar,Search Term
bicycle,bicycle,Search Term
bicycle,bicycle,Search Term
bicycle collision,bicycle collision,Search Term
bike,bike,Search Term
bike,bike,Search Term
bike,bike,Search Term
bike,bike,Search Term
bike,bike,Search Term
bikeway network,bikeway network,Search Term
blocks,blocks,Search Term
boundaries,boundaries,Search Term
budget,budget,Search Term
building,building,Search Term
building footprint,building footprint,Search Term
building footprint,building footprint,Search Term
buildings,buildings,Search Term
bus,bus,Search Term
bus,bus,Search Term
business,business,Search Term
business,business,Search Term
business license,business license,Search Term
business license lookup,business license lookup,Search Term
business registration,business registration,Search Term
businesses,businesses,Search Term
campaign,campaign,Search Term
campaign Finance,campaign finance,Search Term
cancer,cancer,Search Term
canopy,canopy,Search Term
centerline,centerline,Search Term
child care,child care,Search Term
churches,churches,Search Term
city,city,Search Term
city boundary,city boundary,Search Term
city lots,city lots,Search Term
city survey,city survey,Search Term
climate,climate,Search Term
coffee,coffee,Search Term
contour,contour,Search Term
contour,contour,Search Term
contracts,contracts,Search Term
crime,crime,Search Term
crime,crime,Search Term
crime,crime,Search Term
crime incidents,crime incidents,Search Term
curb ramp,curb ramp,Search Term
dem,dem,Search Term
dem,dem,Search Term
density,density,Search Term
districts,districts,Search Term
dog,dog,Search Term
education,education,Search Term
elevation,elevation,Search Term
elevation,elevation,Search Term
employee,employee,Search Term
employees,employees,Search Term
employment,employment,Search Term
entitlements,entitlements,Search Term
eviction,eviction,Search Term
eviction,eviction,Search Term
exceptions,exceptions,Search Term
facilities,facilities,Search Term
feces,feces,Search Term
finance,finance,Search Term
fire,fire,Search Term
fire,fire,Search Term
fire,fire,Search Term
fire,fire,Search Term
fire,fire,Search Term
fire incidents,fire incidents,Search Term
food truck,food truck,Search Term
footprints,footprints,Search Term
gis,gis,Search Term
gis,gis,Search Term
graffiti,graffiti,Search Term
grafitti,grafitti,Search Term
green space,green space,Search Term
grocery,grocery,Search Term
grocery stores,grocery stores,Search Term
health,health,Search Term
health,health,Search Term
health,health,Search Term
health,health,Search Term
healthcare,healthcare,Search Term
heat,heat,Search Term
high injury corridors,high injury corridors,Search Term
homeless,homeless,Search Term
homeless,homeless,Search Term
homeless,homeless,Search Term
homeless,homeless,Search Term
homelessness,homelessness,Search Term
hospital,hospital,Search Term
hospitals,hospitals,Search Term
hotel,hotel,Search Term
hotel,hotel,Search Term
hotels,hotels,Search Term
human waste,human waste,Search Term
incident,incident,Search Term
incidents,incidents,Search Term
inclusionary housing,inclusionary housing,Search Term
indonesia,indonesia,Search Term
inspections,inspections,Search Term
insurance,insurance,Search Term
landuse,landuse,Search Term
light,light,Search Term
lobbyist contributions,lobbyist contributions,Search Term
map,map,Search Term
map,map,Search Term
map of crimes incidents,map of crimes incidents,Search Term
marijuana,marijuana,Search Term
meter,meter,Search Term
meter,meter,Search Term
meters,meters,Search Term
motorcycle parking,motorcycle parking,Search Term
movies,movies,Search Term
muni,muni,Search Term
neighborhood boundaries,neighborhood boundaries,Search Term
neighborhoods,neighborhoods,Search Term
neighborhoods,neighborhoods,Search Term
neighborhoods,neighborhoods,Search Term
neighborhoods,neighborhoods,Search Term
network,network,Search Term
no parking,no parking,Search Term
oakland,oakland,Search Term
ortho,ortho,Search Term
orthophoto,orthophoto,Search Term
parade,parade,Search Term
parcel,parcel,Search Term
parcel,parcel,Search Term
parcel,parcel,Search Term
parcels,parcels,Search Term
park,park,Search Term
park,park,Search Term
parking,parking,Search Term
parking,parking,Search Term
parking meter,parking meter,Search Term
parking meters,parking meters,Search Term
parking meters,parking meters,Search Term
parking ticket,parking ticket,Search Term
pedestrian,pedestrian,Search Term
permits,permits,Search Term
pipeline,pipeline,Search Term
pipeline,pipeline,Search Term
pipeline 2014,pipeline 2014,Search Term
planning,planning,Search Term
planning districts,planning districts,Search Term
police,police,Search Term
police,police,Search Term
pollution,pollution,Search Term
population,population,Search Term
population,population,Search Term
population,population,Search Term
population density,population density,Search Term
projects,projects,Search Term
property,property,Search Term
property,property,Search Term
published datasets,published datasets,Search Term
realtor_neighborhoods,realtor_neighborhoods,Search Term
religion,religion,Search Term
rent,rent,Search Term
rent,rent,Search Term
rental,rental,Search Term
residential,residential,Search Term
restaurant,restaurant,Search Term
restaurant,restaurant,Search Term
roads,roads,Search Term
roads,roads,Search Term
san francisco boundary,san francisco boundary,Search Term
school,school,Search Term
schools,schools,Search Term
schools,schools,Search Term
sewer,sewer,Search Term
sfmta,sfmta,Search Term
sfmta bikeway network,sfmta bikeway network,Search Term
sfo,sfo,Search Term
sfo,sfo,Search Term
sfpd,sfpd,Search Term
shape,shape,Search Term
shape file,shape file,Search Term
shapefile,shapefile,Search Term
solar,solar,Search Term
spending,spending,Search Term
stclines,stclines,Search Term
street,street,Search Term
street,street,Search Term
street,street,Search Term
street,street,Search Term
street cleaning,street cleaning,Search Term
street cleaning,street cleaning,Search Term
street light,street light,Search Term
street sweeping,street sweeping,Search Term
street trees,street trees,Search Term
streets,streets,Search Term
streets,streets,Search Term
streets,streets,Search Term
streets,streets,Search Term
summary,summary,Search Term
supervisor districts,supervisor districts,Search Term
tax,tax,Search Term
taxi,taxi,Search Term
taxi,taxi,Search Term
taxi,taxi,Search Term
tech,tech,Search Term
temperature,temperature,Search Term
topographic,topographic,Search Term
topography,topography,Search Term
traffic,traffic,Search Term
traffic,traffic,Search Term
traffic accidents,traffic accidents,Search Term
traffic count,traffic count,Search Term
traffic count,traffic count,Search Term
traffic noise,traffic noise,Search Term
transit,transit,Search Term
transportation,transportation,Search Term
transportation,transportation,Search Term
travel,travel,Search Term
tree,tree,Search Term
unemployment,unemployment,Search Term
vegetation,vegetation,Search Term
water,water,Search Term
water,water,Search Term
