# ----------------------------------------
# SF OpenData - All Web Data
# Search Terms
# 20140901-20160622
# ----------------------------------------

Search Term,Exit Page,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
parking,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=parking&view_type=rich,35,2.37,0.00%,2.41%,00:01:28,5.83
street sweeping,/City-Infrastructure/Street-Sweeper-Scheduled-Routes-Zipped-Shapefile-F/wwci-6uqu,35,1.60,0.00%,3.57%,00:01:57,5.09
traffic,/Transportation/Traffic-Density-San-Francisco-CA/rhp4-jr7s,35,3.20,0.00%,2.68%,00:02:54,15.40
311,/City-Infrastructure/311-Explorer/wp99-j4wh,34,2.21,0.00%,2.67%,00:03:12,8.21
address,/Geographic-Locations-and-Boundaries/Addresses-with-Units-Enterprise-Addressing-System-/kvej-w5kb,34,2.18,0.00%,4.05%,00:02:35,6.41
contours,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,34,1.74,0.00%,5.08%,00:02:27,7.03
crime,/Public-Safety/Map-Crime-Incidents-Previous-Three-Months/gxxq-x39z,34,2.65,0.00%,3.33%,00:02:02,10.47
footprint,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,34,1.79,0.00%,8.20%,00:00:40,9.59
meter,/Transportation/Meter-Operating-Schedules/6cqg-dxku,34,3.68,0.00%,1.60%,00:02:33,38.12
parking,/Transportation/Off-Street-parking-lots-and-parking-garages/uupn-yfaw,34,2.59,0.00%,2.27%,00:06:46,10.38
traffic,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=traffic&view_type=rich,34,2.21,5.88%,0.00%,00:02:32,5.09
460,/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-A-Monetary/q66q-d2tr,32,3.00,0.00%,3.12%,00:09:56,11.84
crime,/Public-Safety/Crime-Calls-for-Service-Archived-XML-/gmfh-u26p,32,1.81,0.00%,5.17%,00:03:17,6.41
crime,/Public-Safety/SFPD-Incidents-Current-Year-2016-/9v2m-8wqu,32,1.34,0.00%,4.65%,00:03:50,4.06
inclusionary,/login,32,2.66,0.00%,11.76%,00:23:57,25.53
movie,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,32,1.84,0.00%,5.08%,00:04:42,6.78
parking,/Transportation/Off-street-parking-lots-and-parking-garages-map/4vvz-yypg,32,2.91,0.00%,3.23%,00:03:13,11.47
shapefiles,/browse/embed?category=&limit=20&limitTo=&q=shapefiles&view_type=rich,32,1.72,0.00%,0.00%,00:00:09,5.00
census,/Geographic-Locations-and-Boundaries/Census-2010-Census-Blocks-for-San-Francisco-Zipped/d7g8-55kx,30,3.00,0.00%,14.44%,00:03:59,15.67
city lots,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,30,1.67,0.00%,0.00%,00:00:27,6.43
crime,/Public-Safety/SFPD-Incidents-Current-Year-2015-/ritf-b9ki,30,2.23,0.00%,2.99%,00:04:47,8.77
crime,/Public-Safety/SFPD-Reported-Incidents-2003-to-Present/dyj4-n68b,30,3.00,0.00%,3.33%,00:02:56,17.70
envista,/City-Infrastructure/Envista-Projects-for-Utility-Excavation-and-Paving/sf93-6dmr,30,2.20,0.00%,0.00%,00:03:05,7.00
income,/browse/embed?category=&limit=20&limitTo=&q=income&view_type=rich,30,3.00,0.00%,2.22%,00:02:23,9.27
neighborhoods,/Geographic-Locations-and-Boundaries/Neighborhood-Groups-Map/qc6m-r4ih,30,2.23,0.00%,2.99%,00:02:51,7.70
open space,/Culture-and-Recreation/Open-Spaces-City-Planning/zsre-apvm,30,2.20,0.00%,7.58%,00:01:20,7.50
park,/Culture-and-Recreation/Park-Lands-Recreation-and-Parks-Department-Zipped-/qkuk-eir7,30,2.30,0.00%,2.90%,00:01:30,11.03
population,/Health-and-Social-Services/Population-Density-San-Francisco-CA/ea9w-4zvc,30,2.57,0.00%,3.90%,00:01:18,11.77
restaurants,/data?search=restaurants,30,1.57,100.00%,0.00%,00:00:09,1.23
fire,/Public-Safety/Fire-Incidents/wr8u-xric,29,1.34,0.00%,15.38%,00:01:52,3.83
food,/Health-and-Social-Services/Restaurant-Scores/stya-26eb,29,2.72,0.00%,7.59%,00:03:37,9.90
parcel,/,29,3.28,0.00%,11.58%,00:04:50,20.31
parcel,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,29,2.00,0.00%,5.17%,00:02:58,10.34
parking,/,29,2.66,0.00%,12.99%,00:05:47,8.45
pipeline,/Housing-and-Buildings/San-Francisco-Development-Pipeline-2015-Quarter-4/ra2x-jzmk,29,1.10,0.00%,6.25%,00:04:18,4.31
population,/,29,2.86,0.00%,16.87%,00:04:12,16.21
school,/browse/embed?category=&limit=20&limitTo=&q=school&view_type=rich,29,2.76,0.00%,0.00%,00:01:00,8.69
water,/browse/embed?category=&limit=20&limitTo=&q=water&view_type=rich,29,2.59,0.00%,4.00%,00:01:50,8.03
311,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=311&view_type=rich,27,1.56,0.00%,0.00%,00:00:29,3.85
business license,/Economy-and-Community/Registered-Business-Map/vt9c-aeiw,27,1.89,0.00%,3.92%,00:04:36,6.22
census,/Economy-and-Community/US-Census-Bureau-Data/d53k-r35r,27,2.04,0.00%,3.64%,00:04:10,7.96
contour,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,27,1.67,0.00%,4.44%,00:00:48,7.78
eviction notices,/Housing-and-Buildings/Eviction-Notices/5cei-gny5,27,1.74,0.00%,0.00%,00:02:31,5.30
footprints,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,27,1.89,0.00%,19.61%,00:01:33,5.33
meter,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,27,2.15,0.00%,46.55%,00:02:17,10.81
muni,/browse/embed?category=&limit=20&limitTo=&q=muni&view_type=rich,27,1.85,0.00%,4.00%,00:00:13,3.67
neighborhood,/Geographic-Locations-and-Boundaries/Neighborhood-Groups-Map/qc6m-r4ih,27,4.04,0.00%,9.17%,00:03:15,17.41
open,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,27,2.15,0.00%,3.45%,00:00:15,18.41
parcels,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,27,3.22,0.00%,6.90%,00:07:32,11.11
population,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=population&view_type=rich,27,2.33,0.00%,0.00%,00:04:08,6.37
restaurants,/Economy-and-Community/Registered-Restaurants-in-SF/qwyj-4qec,27,2.33,0.00%,0.00%,00:04:37,9.04
Streets,/Geographic-Locations-and-Boundaries/Streets-of-San-Francisco-Zipped-Shapefile-Format-/wbm8-ratb,27,3.22,0.00%,5.75%,00:02:34,14.81
topography,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,27,2.67,0.00%,40.28%,00:02:26,9.63
zip code,/Geographic-Locations-and-Boundaries/San-Francisco-ZIP-Codes-Zipped-Shapefile-Format-/9q84-kc2y,27,1.78,0.00%,6.25%,00:01:21,5.04
crime,/Public-Safety/SFPD-Incidents-Previous-Three-Months/tmnf-yvry,26,4.69,0.00%,0.00%,00:04:27,16.15
land use,/browse/embed?category=&limit=20&limitTo=&q=land+use&view_type=rich,26,1.85,0.00%,4.17%,00:00:17,5.12
lots,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,26,2.15,0.00%,8.93%,00:04:14,7.46
