# ----------------------------------------
# SF OpenData - All Web Data
# Search Terms
# 20140901-20160622
# ----------------------------------------

Search Term,Exit Page,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
movie locations,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,3,1.67,0.00%,0.00%,00:00:14,4.67
movies,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,3,2.00,0.00%,33.33%,00:07:18,6.33
mumbai,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=mumbai&view_type=rich,3,2.67,0.00%,0.00%,00:00:19,5.33
muni,/browse/embed?category=City+Infrastructure&limit=20&limitTo=&q=&view_type=rich,3,3.33,0.00%,20.00%,00:01:41,10.67
muni,/browse/embed?category=Transportation&limit=20&limitTo=&q=&view_type=rich,3,2.00,0.00%,0.00%,00:08:55,39.00
muni,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=muni&view_type=rich,3,1.67,0.00%,0.00%,00:00:37,3.33
muni,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=href&q=muni&view_type=rich,3,2.00,0.00%,0.00%,00:00:10,4.33
muni,/Geographic-Locations-and-Boundaries/Colleges-in-San-Francisco-Zipped-Shapefile-Format-/59m3-88aj,3,1.67,0.00%,60.00%,00:00:58,3.33
muni,/login,3,2.00,0.00%,50.00%,00:00:34,4.33
Muni,/browse/embed?category=Transportation&limit=20&limitTo=&q=&utf8=✓&view_type=rich&page=1,3,1.00,0.00%,66.67%,00:11:45,7.33
MUNI,/,3,5.33,0.00%,12.50%,00:07:11,28.33
MUNI,/Transportation/SFMTA-routes-and-stops-for-March-2012/f5c3-8kkj,3,1.67,0.00%,40.00%,00:11:12,22.33
municipal,/Geographic-Locations-and-Boundaries/San-Francisco-Facilties-Current-Zipped-Shapefile-F/9vhi-qnsc,3,2.00,0.00%,50.00%,00:00:30,4.33
murder,/browse/embed?category=&limit=20&limitTo=&q=murder&view_type=rich,3,3.67,0.00%,0.00%,00:02:53,8.67
museum,/,3,1.67,0.00%,40.00%,00:00:10,1.00
museum,/browse/embed?category=&limit=20&limitTo=&q=museums&view_type=rich,3,3.33,0.00%,30.00%,00:00:18,6.33
museums,/browse/embed?category=&limit=20&limitTo=&q=museums&view_type=rich,3,3.33,0.00%,0.00%,00:00:12,6.33
nail salon,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,1.67,0.00%,0.00%,00:05:29,6.33
National parks,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=National+parks&view_type=rich,3,1.00,0.00%,0.00%,00:00:10,2.00
neighborhood,/browse/embed?category=&limit=20&limitTo=&q=neighborhood&utf8=✓&view_type=rich&page=3,3,1.67,0.00%,0.00%,00:21:02,13.33
neighborhood,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=maps&q=neighborhood&view_type=rich,3,1.00,0.00%,0.00%,00:00:03,2.00
neighborhood,/Culture-and-Recreation/Park-Lands-Recreation-and-Parks-Department-Zipped-/qkuk-eir7,3,4.33,0.00%,23.08%,00:05:06,49.67
neighborhood,/Geographic-Locations-and-Boundaries/Census-2010-Census-Blocks-for-San-Francisco-Zipped/d7g8-55kx,3,4.33,0.00%,23.08%,00:03:16,9.67
neighborhood,/Geographic-Locations-and-Boundaries/Invest-In-Neighborhoods-IIN-Areas/n2pq-sbjb,3,1.00,0.00%,0.00%,00:05:04,4.33
neighborhood,/Geographic-Locations-and-Boundaries/Planning-Department-Neighborhood-Quadrants/x89n-qawp,3,1.67,0.00%,0.00%,00:08:47,6.33
neighborhood,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,3,3.33,0.00%,30.00%,00:05:24,13.00
neighborhood group,/Geographic-Locations-and-Boundaries/Neighborhood-Groups-Map/qc6m-r4ih,3,2.00,0.00%,0.00%,00:00:08,15.00
neighborhood groups,/Geographic-Locations-and-Boundaries/Neighborhood-Groups-Map/qc6m-r4ih,3,1.67,0.00%,40.00%,00:00:13,3.67
neighborhoods,/,3,9.00,0.00%,7.41%,00:04:26,42.33
neighborhoods,/City-Infrastructure/90-Day-Cases-by-Neighborhood/8y9x-fz79,3,3.33,0.00%,20.00%,00:04:28,10.67
neighborhoods,/Geographic-Locations-and-Boundaries/Analysis-Neighborhoods/p5b7-5n3h,3,2.00,0.00%,0.00%,00:01:34,8.00
neighborhoods,/Geographic-Locations-and-Boundaries/Zoning-Districts/mici-sct2,3,4.67,0.00%,21.43%,00:01:15,11.33
neighborhoods,/Housing-and-Buildings/San-Francisco-Rental-Listings-06-2012-12-2012/c2ie-3fuy,3,2.00,0.00%,50.00%,00:06:19,8.67
Neighborhoods,/browse/embed?category=&limit=20&limitTo=&q=Neighborhoods&view_type=rich,3,2.00,0.00%,0.00%,00:00:08,4.33
new business,/Economy-and-Community/Registered-Business-Map/vt9c-aeiw,3,1.67,0.00%,40.00%,00:04:19,3.67
new businesses,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,1.00,0.00%,0.00%,00:05:25,6.00
nightlife,/,3,2.00,0.00%,33.33%,00:00:16,14.00
nlcd,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=nlcd&view_type=rich,3,2.00,0.00%,0.00%,00:00:02,4.33
nodes,/Geographic-Locations-and-Boundaries/List-of-Streets-and-Intersections/pu5n-qu5c,3,3.33,0.00%,30.00%,00:00:39,16.00
noise,/browse/embed?category=&limit=20&limitTo=&q=noise&view_type=rich,3,4.33,0.00%,0.00%,00:01:37,14.00
noise,/Energy-and-Environment/Stationary-Air-Pollution-Sources-San-Francisco-CA/caru-akyu,3,2.00,0.00%,33.33%,00:02:52,6.33
oakland,/,3,2.67,0.00%,25.00%,00:00:09,10.67
ocean,/browse/embed?category=&limit=20&limitTo=&q=ocean&view_type=rich,3,1.67,0.00%,0.00%,00:00:03,3.33
off street parking,/Transportation/Off-Street-parking-lots-and-parking-garages/uupn-yfaw,3,2.67,0.00%,0.00%,00:04:37,8.00
oil,/City-Infrastructure/Oil-in-D10/f7ws-3da9,3,1.67,0.00%,0.00%,00:01:17,4.33
on street parking,/browse?q=on+street+parking&sortBy=relevance&utf8=✓&page=3,3,2.00,100.00%,0.00%,00:00:16,0.00
on-street parking meters,/Transportation/Parking-meters/28my-4796,3,3.33,0.00%,20.00%,00:02:03,8.67
open busienss,/browse/embed?category=Economy+and+Community&limit=20&limitTo=&q=open+business&view_type=rich,3,1.67,0.00%,60.00%,00:00:06,3.33
open business locations,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,3,2.00,0.00%,0.00%,00:03:00,6.33
open business locations,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,3.33,0.00%,0.00%,00:00:50,9.67
open businesses,/Economy-and-Community/Registered-Business-Map/vt9c-aeiw,3,2.00,0.00%,33.33%,00:16:36,8.67
open parks,/Culture-and-Recreation/Park-and-Open-Space-Map/4udc-s3pr,3,2.67,0.00%,0.00%,00:04:46,8.00
open space,/,3,2.67,0.00%,25.00%,00:06:44,8.67
open space,/browse/embed?category=Energy+and+Environment&limit=20&limitTo=&q=&view_type=rich,3,1.67,0.00%,60.00%,00:09:10,7.33
open space,/Culture-and-Recreation/Park-Lands-Recreation-and-Parks-Department-Zipped-/qkuk-eir7,3,4.67,0.00%,21.43%,00:00:48,10.67
open space,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,3,6.33,0.00%,26.32%,00:13:30,31.00
open space,/Geographic-Locations-and-Boundaries/Census-2010-Census-Tracts-for-San-Francisco-Zipped/jyce-hqn2,3,2.67,0.00%,37.50%,00:02:06,9.67
open spaces,/,3,1.67,0.00%,40.00%,00:00:14,4.67
open spaces,/Culture-and-Recreation/Park-and-Open-Space-Map/4udc-s3pr,3,2.00,0.00%,33.33%,00:06:33,6.00
Open Spaces - City Planning,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,3,1.67,0.00%,60.00%,00:00:39,4.33
Open Spaces – City Planning,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,3,3.33,0.00%,30.00%,00:00:32,8.00
Open Spaces City Planning,/Geographic-Locations-and-Boundaries/SF-Shoreline-and-Islands-Zipped-Shapefile-Format-/feqe-wvxg,3,4.33,0.00%,23.08%,00:01:27,10.67
operate business,/Transportation/Meter-Operating-Schedules/6cqg-dxku,3,5.33,0.00%,12.50%,00:01:42,58.67
operate business,/Transportation/Parking-meters/28my-4796,3,3.33,0.00%,30.00%,00:01:09,25.67
OPERATE BUSINESS,/Economy-and-Community/Open-Business-Locations-San-Francisco/g8m3-pdis,3,3.33,0.00%,20.00%,00:00:32,29.00
orthophoto,/browse/embed?category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=orthophoto&view_type=rich,3,2.00,0.00%,0.00%,00:00:20,5.33
orthophoto,/Geographic-Locations-and-Boundaries/Orthophoto-mosaic-of-San-Francisco-proper-2012-6-i/c2ss-e7gj,3,2.00,0.00%,0.00%,00:00:21,8.67
orthophoto,/Geographic-Locations-and-Boundaries/Orthophoto-mosaic-of-SF-Airport-2011-6-inch-per-pi/a87y-ij86,3,5.33,0.00%,0.00%,00:01:57,17.00
Orthophoto,/browse/embed?category=&limit=20&limitTo=&q=Orthophoto&view_type=rich,3,2.00,0.00%,0.00%,00:00:03,4.33
outlines,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,3,2.00,0.00%,33.33%,00:00:22,6.33
ozone thai,/Health-and-Social-Services/Restaurant-Scores/stya-26eb,3,2.00,0.00%,50.00%,00:00:33,8.67
pacific eye associates,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,1.00,0.00%,0.00%,00:00:10,3.33
padmapper,/browse/embed?category=&limit=20&limitTo=&q=padmapper&view_type=rich,3,2.00,0.00%,0.00%,00:00:02,5.33
parcel,/browse/embed?category=&limit=20&limitTo=&q=city+lots&view_type=rich,3,1.00,0.00%,100.00%,00:00:43,7.33
parcel,/browse/embed?category=&limit=20&limitTo=&q=parcel&utf8=✓&view_type=rich&page=2,3,2.00,0.00%,0.00%,00:00:51,7.33
parcel,/browse/embed?category=&limit=20&limitTo=maps&q=parcel&view_type=rich,3,4.67,0.00%,0.00%,00:04:25,13.00
parcel,/browse/embed?category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=&view_type=rich,3,2.00,0.00%,33.33%,00:05:54,27.67
parcel,/browse/embed?category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=parcel&view_type=rich,3,3.33,0.00%,0.00%,00:07:21,7.33
parcel,/browse/embed?category=Housing+and+Buildings&limit=20&limitTo=&q=parcel&view_type=rich,3,7.33,0.00%,9.09%,00:05:17,34.33
parcel,/City-Management-and-Ethics/Secured-Property-Assessment-Roll-FY13-Q4/e6sm-rank,3,3.33,0.00%,0.00%,00:01:36,9.67
parcel,/Housing-and-Buildings/San-Francisco-Property-Information-Map/i8ew-h6z7,3,1.00,0.00%,0.00%,00:07:07,10.67
Parcel,/,3,1.67,0.00%,40.00%,00:08:31,22.33
Parcel,/Geographic-Locations-and-Boundaries/Recorded-Parcel-Geography-with-Transaction-Date-Hi/ue7t-p29i,3,2.00,0.00%,0.00%,00:02:41,4.33
parcel data,/,3,3.67,0.00%,18.18%,00:11:36,13.00
parcel map,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,3,2.00,0.00%,50.00%,00:00:27,5.33
parcel map,/Geographic-Locations-and-Boundaries/Recorded-Parcel-Geography-with-Transaction-Date-Hi/ue7t-p29i,3,1.67,0.00%,0.00%,00:01:24,13.33
PARCEL OWNER,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,3,7.33,0.00%,9.09%,00:16:06,88.67
parcel zoning,/City-Infrastructure/Parcels-With-Planning-Department-Zoning/fpr2-m7in,3,1.67,0.00%,0.00%,00:00:16,4.67
parcels,/,3,1.00,0.00%,100.00%,00:03:17,4.67
parcels,/browse/embed?category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=parcels&view_type=rich,3,2.67,0.00%,0.00%,00:00:27,23.67
parcels,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=parcels&view_type=rich,3,2.67,0.00%,0.00%,00:00:30,6.33
parcels,/browse/embed?Department-Metrics_Publishing-Department=&category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=parcels&view_type=rich,3,2.67,0.00%,0.00%,00:01:16,6.33
parcels,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,3,2.00,0.00%,33.33%,00:24:52,35.67
parcels,/Geographic-Locations-and-Boundaries/Streets-of-San-Francisco-Zipped-Shapefile-Format-/wbm8-ratb,3,1.67,0.00%,60.00%,00:04:36,3.33
parcels,/Geographic-Locations-and-Boundaries/Zoning-Districts/mici-sct2,3,3.33,0.00%,30.00%,00:10:25,18.33
Parcels,/browse/embed?Department-Metrics_Publishing-Department=&category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=Parcels&view_type=rich,3,2.00,0.00%,0.00%,00:00:04,3.33
park,/browse/embed?category=Energy+and+Environment&limit=20&limitTo=&q=park&view_type=rich,3,2.00,0.00%,0.00%,00:00:02,4.33
park,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=parks&view_type=rich,3,1.00,0.00%,100.00%,00:00:11,1.00
park,/Geographic-Locations-and-Boundaries/Detailed-Topological-Map-of-San-Francisco/2fm6-ubhv,3,2.00,0.00%,33.33%,00:00:10,5.33
park,/Geographic-Locations-and-Boundaries/Streets-of-San-Francisco-Zipped-Shapefile-Format-/wbm8-ratb,3,1.67,0.00%,60.00%,00:16:56,6.00
park,/Geographic-Locations-and-Boundaries/Zoning-Districts/mici-sct2,3,3.33,0.00%,20.00%,00:05:59,14.00
park,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,3,5.33,0.00%,12.50%,00:21:33,37.00
PARK,/Culture-and-Recreation/Open-Spaces-City-Planning/zsre-apvm,3,2.00,0.00%,33.33%,00:00:11,23.67
park lands,/Culture-and-Recreation/Park-Lands-Recreation-and-Parks-Department-Zipped-/qkuk-eir7,3,1.67,0.00%,0.00%,00:00:09,4.67
park score,/Culture-and-Recreation/Park-Evaluation-Scores-starting-Fiscal-Year-2015/r33y-seqv,3,2.00,0.00%,0.00%,00:01:56,6.33
parking,/browse/embed?category=&limit=20&limitTo=&q=parking&utf8=✓&view_type=rich&page=3,3,3.33,0.00%,20.00%,00:02:03,13.00
parking,/browse/embed?category=&limit=20&limitTo=&q=parking+permit&view_type=rich,3,2.00,0.00%,50.00%,00:14:04,14.00
parking,/browse/embed?category=&limit=20&limitTo=&q=street+cleaning&view_type=rich,3,4.33,0.00%,23.08%,00:01:29,10.67
parking,/browse/embed?category=&limit=20&limitTo=&q=street+parking&view_type=rich,3,2.00,0.00%,50.00%,00:00:29,5.33
parking,/browse/embed?Department-Metrics_Publishing-Department=Municipal+Transportation+Agency+&category=&limit=20&limitTo=&q=&utf8=✓&view_type=rich&page=2,3,3.67,0.00%,0.00%,00:04:14,23.67
parking,/browse/select_dataset?nofederate=true&suppressed_facets[]=domain,3,1.67,0.00%,40.00%,00:08:42,9.67
parking,/City-Management-and-Ethics/Number-of-Tickets-Opened/9due-8t8i,3,2.00,0.00%,50.00%,00:00:37,6.00
parking,/City-Management-and-Ethics/Street-and-Sidewalk-Cleaning/h3eg-w3pj,3,1.67,0.00%,60.00%,00:03:07,3.67
parking,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,3,1.00,0.00%,0.00%,00:01:06,6.00
parking,/Culture-and-Recreation/Park-Lands-Recreation-and-Parks-Department-Zipped-/qkuk-eir7,3,2.67,0.00%,0.00%,00:02:44,12.33
parking,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,3.33,0.00%,20.00%,00:36:10,25.67
parking,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,3,4.67,0.00%,14.29%,00:12:55,30.00
parking,/Housing-and-Buildings/Eviction-Notices/5cei-gny5,3,2.67,0.00%,0.00%,00:25:42,18.67
parking,/login,3,2.67,0.00%,25.00%,00:05:24,13.33
parking,/Transportation/Disabled-Parking/wc6f-brai,3,1.67,0.00%,0.00%,00:03:37,13.33
parking,/Transportation/Meter-Location-Lookup/jnyu-ibvn,3,1.00,0.00%,0.00%,00:04:46,7.00
parking,/Transportation/Meter-Rate-Schedules/fwjv-32uk,3,3.33,0.00%,0.00%,00:06:31,11.33
parking,/Transportation/PrivateGarages-Lots/egqj-is29,3,2.67,0.00%,25.00%,00:01:19,10.67
parking,/Transportation/SFpark-Parking-Availability-API-Reference/u9ke-iwn4?category=Transportation&view_name=SFpark-Parking-Availability-API-Reference,3,2.00,0.00%,33.33%,00:07:20,19.67
parking,/widgets/9qrz-nwix,3,1.00,0.00%,0.00%,00:00:16,3.33
Parking,/Transportation/Parking/9qrz-nwix,3,2.00,0.00%,0.00%,00:06:06,6.33
Parking,/widgets/unsu-istx,3,1.00,0.00%,0.00%,00:01:14,3.33
parking census,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=parking+census&view_type=rich,3,3.67,0.00%,0.00%,00:01:23,10.67
parking citation,/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,3,1.00,0.00%,100.00%,00:00:25,4.33
parking lots,/Transportation/Off-street-parking-lots-and-parking-garages-map/4vvz-yypg,3,2.67,0.00%,0.00%,00:02:47,7.33
parking meter,/,3,1.00,0.00%,0.00%,00:01:39,2.00
parking meters,/developers,3,1.00,0.00%,0.00%,00:02:32,6.00
Parking meters,/,3,7.00,0.00%,0.00%,00:12:43,19.67
Parking meters dataset,/Transportation/Metered-motorcycle-spaces/uf55-k7py,3,1.00,0.00%,0.00%,00:25:41,3.33
parking permit,/,3,2.00,0.00%,50.00%,00:00:52,5.33
parking permit,/browse/embed?category=&limit=20&limitTo=&q=parking+permit&view_type=rich,3,1.67,0.00%,0.00%,00:00:05,3.33
parking restrictions,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=parking+restrictions&view_type=rich,3,1.00,0.00%,0.00%,00:00:06,2.00
parking shapefile,/Transportation/Off-Street-parking-lots-and-parking-garages/uupn-yfaw,3,3.33,0.00%,20.00%,00:11:15,20.33
parking ticket,/,3,2.00,0.00%,0.00%,00:00:16,8.00
parking ticket,/showcase,3,2.00,0.00%,33.33%,00:01:39,9.00
parking tickets,/browse/embed?category=&limit=20&limitTo=&q=parking+tickets&view_type=rich,3,2.00,0.00%,0.00%,00:00:06,4.33
parking tickets,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=&view_type=rich,3,2.00,0.00%,50.00%,00:00:40,4.33
parking tickets,/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,3,2.00,0.00%,83.33%,00:01:26,4.67
parks,/browse/embed?category=&limit=20&limitTo=&q=&view_type=rich,3,1.67,0.00%,40.00%,00:10:07,6.33
parks,/browse/embed?category=&limit=20&limitTo=&q=parks&utf8=✓&view_type=rich&page=7,3,3.67,0.00%,0.00%,00:08:06,46.00
parks,/browse/embed?Department-Metrics_Publishing-Department=&category=Culture+and+Recreation&limit=20&limitTo=&q=parks&view_type=rich,3,6.33,0.00%,0.00%,00:02:00,50.33
parks,/browse/embed?Department-Metrics_Publishing-Department=&category=Geographic+Locations+and+Boundaries&limit=20&limitTo=&q=parks&view_type=rich,3,5.33,0.00%,0.00%,00:03:09,20.33
parks,/Economy-and-Community/Mobile-Food-Facility-Permit/rqzj-sfat,3,3.67,0.00%,27.27%,00:29:21,21.33
parks,/Energy-and-Environment/Seismic-Hazard-Zones-San-Francisco/agxj-bppd,3,1.67,0.00%,40.00%,00:03:32,7.00
parks,/Geographic-Locations-and-Boundaries/Bay-Area-General-Zipped-Shapefile-Format-/ye46-7n65,3,2.00,0.00%,33.33%,00:16:12,18.33
parks,/Geographic-Locations-and-Boundaries/Building-Footprints-Zipped-Shapefile-Format-/jezr-5bxm,3,2.00,0.00%,50.00%,00:12:31,8.67
parks,/Geographic-Locations-and-Boundaries/Detailed-Topological-Map-of-San-Francisco/2fm6-ubhv,3,3.67,0.00%,0.00%,00:00:59,9.67
parks,/Geographic-Locations-and-Boundaries/Freeways-in-San-Francisco-Zipped-Shapefile-Format-/c86d-e5sm,3,3.33,0.00%,30.00%,00:01:19,8.00
parks,/Geographic-Locations-and-Boundaries/Privately-Owned-Public-Open-Space-POPOS-and-Public/55um-v9vc,3,10.67,0.00%,0.00%,00:01:14,25.67
parks,/Geographic-Locations-and-Boundaries/Zoning-Districts/mici-sct2,3,3.33,0.00%,30.00%,00:03:29,22.00
parks,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,3,2.00,0.00%,50.00%,00:06:55,6.00
Parks,/Culture-and-Recreation/Park-and-Open-Space-Map/4udc-s3pr,3,1.67,0.00%,0.00%,00:03:26,10.67
parks shapefile,/Culture-and-Recreation/Park-Lands-Recreation-and-Parks-Department-Zipped-/qkuk-eir7,3,1.00,0.00%,0.00%,00:00:10,3.33
payroll,/browse/embed?category=&limit=20&limitTo=&q=payroll&utf8=✓&view_type=rich&page=3,3,1.00,0.00%,0.00%,00:02:40,7.00
payroll clerk,/,3,1.00,0.00%,0.00%,00:00:48,3.33
pci,/City-Infrastructure/Paving-PCI-Scores/5aye-4rtt,3,1.00,0.00%,0.00%,00:00:15,3.33
pedestrian,/browse/embed?category=&limit=20&limitTo=&q=pedestrian&utf8=✓&view_type=rich&page=2,3,1.67,0.00%,0.00%,00:00:40,4.67
pedestrian,/Transportation/Traffic-Density-San-Francisco-CA/rhp4-jr7s,3,2.00,0.00%,50.00%,00:03:41,26.67
pedestrian safety,/Public-Safety/Speed-Limit-Compliance-San-Francisco-CA/9tap-3c96,3,4.67,0.00%,14.29%,00:01:45,19.33
pedestrian volume,/browse/embed?category=&limit=20&limitTo=&q=pedestrian+volume&view_type=rich,3,1.67,0.00%,0.00%,00:00:16,7.33
performance,"/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=""citywide+performance+measurement""&view_type=rich",3,2.00,0.00%,50.00%,00:00:25,21.33
permit,/City-Infrastructure/Right-of-Way-Exception-Data/yrgu-vakm,3,2.00,0.00%,0.00%,00:00:56,8.67
permit,/City-Infrastructure/Street-Use-Permits/b6tj-gt35,3,2.00,0.00%,33.33%,00:00:56,24.67
permit,/Economy-and-Community/Street-Use-Permit-Search/nn8w-ruis,3,1.67,0.00%,40.00%,00:01:15,25.00
permit,/Housing-and-Buildings/Department-of-Building-Inspection/nbyd-udsc,3,2.00,0.00%,33.33%,00:01:19,7.33
permit,/Housing-and-Buildings/Planning-Department-Records-Including-Projects-Ent/ip6z-2cph,3,1.67,0.00%,40.00%,00:00:21,6.00
permit,/Housing-and-Buildings/San-Francisco-Development-Pipeline/v5p2-emnu,3,4.33,0.00%,15.38%,01:12:22,48.00
permit,/Housing-and-Buildings/San-Francisco-Property-Information-Map/i8ew-h6z7,3,5.33,0.00%,0.00%,00:04:28,17.67
permits,/browse/embed?category=&limit=20&limitTo=&q=building+permits&view_type=rich,3,2.00,0.00%,50.00%,00:01:11,6.33
permits,/Economy-and-Community/Street-Use-Permit-Search/nn8w-ruis,3,2.67,0.00%,0.00%,00:00:34,8.00
permits,/Housing-and-Buildings/Planning-Department-Records-Including-Projects-Ent/ip6z-2cph,3,1.00,0.00%,0.00%,00:06:58,4.67
pet,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,2.00,0.00%,33.33%,00:03:24,7.00
phone,/browse/embed?category=&limit=20&limitTo=&q=phone&view_type=rich,3,2.00,0.00%,0.00%,00:00:10,4.33
photo,/browse/embed?category=&limit=20&limitTo=&q=photo&utf8=✓&view_type=rich&page=3,3,1.67,0.00%,0.00%,00:02:05,7.00
photo,/showcase,3,2.00,0.00%,0.00%,00:00:35,17.00
physical contours,/Geographic-Locations-and-Boundaries/Elevation-Contours-Zipped-Shapefile-Format-/x467-4ghd,3,1.67,0.00%,0.00%,00:00:11,4.67
pipeline,/,3,1.67,0.00%,40.00%,00:00:16,4.33
pipeline,/browse/embed?category=Housing+and+Buildings&limit=20&limitTo=&q=pipeline+&view_type=rich,3,1.67,0.00%,0.00%,00:00:25,3.33
pipeline,/dataset/San-Francisco-Development-Pipeline-2015-Quarter-3/apz9-dh7k,3,1.67,0.00%,0.00%,00:17:28,9.00
pipeline,/Housing-and-Buildings/Map-SF-Pipeline-2015-Q4/iyr5-kp94,3,2.00,0.00%,0.00%,00:24:05,15.67
pipeline,/Housing-and-Buildings/San-Francisco-Development-Pipeline-2012-Quarter-1/v5p2-emnu,3,1.00,0.00%,0.00%,00:08:26,5.33
pipeline,/Housing-and-Buildings/San-Francisco-Development-Pipeline-2015-Quarter-1/2cma-9y6y,3,2.00,0.00%,33.33%,00:13:08,8.67
pipeline,/Housing-and-Buildings/San-Francisco-Development-Pipeline-Q1-2012/h68j-xgta,3,5.33,0.00%,31.25%,00:07:10,36.33
pipeline 2014,/Housing-and-Buildings/San-Francisco-Development-Pipeline-Q1-2014/g383-7xmf,3,1.67,0.00%,0.00%,00:00:15,4.67
pipeline 2015,/browse/embed?category=&limit=20&limitTo=&q=pipeline+2015&view_type=rich,3,2.00,0.00%,0.00%,00:00:04,4.33
pipeline 2015,/dataset/Pipeline-2015-Q2/w3e8-bxrm,3,3.33,0.00%,0.00%,00:04:24,18.33
pipeline q2 2015,/dataset/Pipeline-2015-Q2/w3e8-bxrm,3,1.67,0.00%,40.00%,00:00:36,41.33
plan areas,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=plan+areas&view_type=rich,3,1.67,0.00%,0.00%,00:00:02,2.00
planning,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,3,1.67,0.00%,0.00%,00:07:33,26.33
planning applications,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=planning+applications&view_type=rich,3,2.00,0.00%,0.00%,00:00:26,7.33
planning cases,/browse/embed?category=&limit=20&limitTo=&q=planning+cases&view_type=rich,3,2.00,0.00%,0.00%,00:00:06,4.33
planning cases,/login,3,2.00,0.00%,0.00%,00:47:54,26.67
planning commission president,/browse/embed?category=&limit=20&limitTo=&q=planning+commission+president&view_type=rich,3,2.00,0.00%,0.00%,00:00:13,4.33
planning districts,/login,3,1.67,0.00%,40.00%,00:08:26,4.33
planning neighborhoods,/browse/embed?category=&limit=20&limitTo=maps&q=planning+neighborhoods&view_type=rich,3,3.67,0.00%,18.18%,00:00:57,7.33
planning neighborhoods,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=planning+neighborhoods&view_type=rich,3,2.00,0.00%,0.00%,00:00:01,2.00
plants,/Energy-and-Environment/San-Francisco-Plant-Database/vb65-x7mv,3,1.00,0.00%,0.00%,00:07:08,3.67
point,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=href&q=point&view_type=rich,3,1.00,0.00%,0.00%,00:00:01,2.00
pole,/,3,3.67,0.00%,27.27%,00:01:18,18.33
